repository,visibility,archived,default_branch,last_updated,listable,searchable,cloneable,submodules_accessible,internal_dependencies_accessible,graphify_available,reason_if_blocked
razorpay/razorpay-flutter,public,false,master,2026-09-02T11:13:35Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-flutter-banking-wrapper-sdk,internal,false,master,2026-07-22T22:45:54Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-flutter-customui,public,false,master,2026-09-02T11:14:24Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-go,public,false,master,2026-08-28T10:00:39Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-gravity-forms,public,false,master,2026-07-15T09:56:45Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-ios-sample-app,public,false,master,2025-07-23T21:05:19Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-java,public,false,master,2026-08-28T10:00:43Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-java-testapp,public,false,master,2026-07-15T09:56:56Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-magento,public,false,master-2.x,2026-08-12T09:04:05Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-magento-v1,public,false,master,2026-07-15T09:57:01Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-mcp-server,public,false,main,2026-08-28T10:00:48Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 7950d51d118ca164c32b7cf0cfaa14f34f24849f)",n/a (no .gitmodules),yes,no (no graphify-out/graph.json in repo),
razorpay/razorpay-node,public,false,master,2026-08-28T10:00:52Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-opencart,public,false,master,2026-08-19T07:42:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-php,public,false,master,2026-08-12T10:59:14Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-php-testapp,public,false,master,2026-07-15T09:57:10Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-pod,public,false,master,2026-09-02T07:34:06Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-prestashop,public,false,master,2026-07-15T09:57:18Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-python,public,false,master,2026-08-28T10:01:02Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-python-testapp,public,false,master,2026-07-15T09:57:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-quick-payments,public,false,master,2026-08-24T05:12:26Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-ruby,public,false,master,2026-08-28T10:01:06Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-turbo-custom,public,false,master,2026-07-17T08:01:45Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-turbo-pod,public,false,master,2026-07-15T09:57:39Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-whmcs,public,false,master,2026-07-15T09:57:43Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-woocommerce,public,false,master,2026-09-02T14:18:19Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/razorpay-woocommerce-subscriptions,public,false,master,2026-07-15T09:57:45Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/RazorpaySalesDemo,public,false,master,2026-04-21T10:29:52Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/rcagpt-automation,internal,false,master,2026-07-22T23:24:59Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/rdslogs,public,false,master,2026-08-28T10:01:16Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/react-native-apollo-devtools,public,false,master,2026-07-15T09:58:03Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/react-native-razorpay,public,false,master,2026-08-31T08:14:27Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/registry,public,false,master,2026-07-20T13:21:04Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/relay,private,false,master,2026-09-02T17:44:56Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 2404424cc9c68e465d9dbc7023cbbb47929a0007)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/Requests,public,false,master,2025-09-15T06:45:37Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/rQuery,public,true,master,2018-03-27T19:45:52Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/scoop-razorpay-cli,public,false,master,2026-07-15T09:59:36Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/security-action,internal,false,master,2026-08-27T20:46:57Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit dfdaa6f240f58d11141ecd20cec569fcc226cfb3)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/self-serve-analytics,internal,false,master,2026-09-03T11:49:59Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit a0fc9cca6920d00ded65ced1d5a6c2f4484a089c)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/shubhcron,public,true,master,2021-02-18T05:51:34Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/shubhcron-pandit,public,true,master,2018-04-01T05:38:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/slack,public,false,master,2026-08-28T10:01:20Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/slack-laravel,public,false,master,2025-09-15T06:33:58Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/sonarcloud-github-action,public,false,master,2025-07-23T21:27:54Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/sorting-hat,public,true,master,2018-03-21T10:06:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/spinnaker,public,false,main,2026-08-28T10:01:25Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/sqoop-on-spark,public,false,master,2026-08-28T10:01:29Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/sqs-autoscaler-controller,public,false,master,2026-08-24T12:27:59Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/statping,public,false,dev,2026-08-18T08:57:47Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/statsd_exporter,public,false,master,2026-08-28T10:01:34Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/status-cake-exporter,public,false,main,2026-08-28T10:01:38Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/subscription-button-elementor-plugin,public,false,master,2026-07-15T10:00:35Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/subscription-button-wordpress-plugin,public,false,master,2026-07-15T10:00:38Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/subscriptions-magento-plugin,public,false,master,2026-07-15T10:00:42Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/subscriptions-opencart-plugin,public,false,master,2026-07-15T10:00:44Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/tally-integration,private,false,master,2026-07-22T22:47:16Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/teamcolony-rss,public,true,master,2015-08-13T01:23:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/tejas,internal,false,master,2026-07-25T09:39:00Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 44c1a7795f998fe46d4a797273c4c4cfa86c3ff7)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/terraform-aws-ssl-ciphers,public,false,master,2026-07-15T10:01:02Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/TestDummy,public,false,master,2025-09-15T06:51:16Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/thirdeye,public,false,master,2026-08-28T10:01:43Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/trino-gateway,public,false,master,2026-08-03T13:39:27Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/ValidX,private,false,master,2026-09-01T09:35:54Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 40f181b6d874abece2ec5cdd88d6fd9e4bb533b3)",n/a (no .gitmodules),partial: blocked=config-proto|error-mapping-module|goutils|governor-executor|ledger-sdk,no (no graphify-out/graph.json in repo),
razorpay/vendor-experience,private,false,master,2026-09-01T08:05:19Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit df90df21bee54ce0148df43d3fc65e7ba7b60160)",n/a (no .gitmodules),partial: blocked=business-verification-service-sdk-go|config-proto|error-mapping-module|goutils,no (no graphify-out/graph.json in repo),
razorpay/vendor-payments,private,false,master,2026-09-01T08:05:19Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 20c4f4d59970471067388afea8b1d65ac39ee126)",n/a (no .gitmodules),partial: blocked=business-verification-service-sdk-go|config-proto|goutils,no (no graphify-out/graph.json in repo),
razorpay/virtual-account,private,false,master,2026-09-02T23:17:38Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 437f39807e1575c3b00b0ef57cdde804a54be5ce)",n/a (no .gitmodules),partial: blocked=config-proto|error-mapping-module|goutils|ledger-sdk|rpc,no (no graphify-out/graph.json in repo),
razorpay/wercker-aws-code-deploy,public,true,master,2017-09-01T16:12:55Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/wercker-ubuntu14.04-ansible1.6,public,true,master,2015-10-12T09:38:15Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/x,private,false,master,2026-09-03T11:48:00Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 40b093f97ec1b8162e7f46ecee223af04982d5ba)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/x-account-statements,private,false,master,2026-09-03T10:19:03Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit e73fd5ae271dea104cea71781f4b644e52d414c3)",n/a (no .gitmodules),partial: blocked=goutils,no (no graphify-out/graph.json in repo),
razorpay/x-attendance,internal,false,master,2026-07-22T22:32:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/x-balances,private,false,master,2026-09-02T17:44:13Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 1a21c0f9111da14125d839dc0dfe8d980740f207)",n/a (no .gitmodules),partial: blocked=config-proto|error-mapping-module|goutils|ledger-sdk,no (no graphify-out/graph.json in repo),
razorpay/x-bank-statement-sync,private,false,master,2026-07-22T22:32:57Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 0379e977b09db434a0e9f69998c909ae52c62815)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/x-payroll-commons,internal,false,master,2026-07-22T22:32:58Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/xperience,private,false,master,2026-09-03T11:01:49Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 88729560e52b35aa9d5768d67ff807f847537ee7)",n/a (no .gitmodules),partial: blocked=config-proto|error-mapping-module|goutils,no (no graphify-out/graph.json in repo),
razorpay/api,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: API monolith (PHP) - hosts payout proxy layer, workflow/approval, webhooks, admin routes"
razorpay/authz,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: AuthZ policy service for X roles/maker-checker (Slack: authz PR 2577 for payouts proxy cutover)"
razorpay/stork,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Webhook/notification delivery service (suspected merchant webhook path)"
razorpay/mozart,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Bank gateway adapter platform referenced by fts/internal/providers/mozart"
razorpay/dcs,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Dynamic config service (feature/config values)"
razorpay/terraform-kong,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Edge/Kong routes incl. payouts-proxy-cutover (PRs 10991/11033/11047)"
razorpay/kube-manifests,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Kubernetes manifests/helm values for services"
razorpay/recon,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Reconciliation service (suspected)"
razorpay/tax-compliance,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: TDS/compliance (suspected)"
razorpay/master-onboarding,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Merchant/banking onboarding (suspected)"
razorpay/catalyst,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: unknown (seed hypothesis)"
razorpay/alert-rules,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Prometheus alert rules"
razorpay/qa-tools,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: QA tooling (seed hypothesis)"
razorpay/e2e-test-orchestrator,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: E2E orchestrator (seed hypothesis)"
razorpay/spinacode,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Spinnaker pipeline code (seed hypothesis)"
razorpay/config-proto,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go dependency of payouts/fts/etc (config schema)"
razorpay/frontend-graphql,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: GraphQL BFF (seed hypothesis)"
razorpay/knowledge-base,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Central RKG/Graphify knowledge graphs (Slack #ai-code-champions)"
razorpay/proto,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: git submodule of cfa (protobuf contracts)"
razorpay/go-foundation-v2,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: git submodule of agent-skills"
razorpay/goutils,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go shared library imported 313x (auth middleware, http clients, kafka, etc.)"
razorpay/rpc,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go shared RPC library"
razorpay/ledger-sdk,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go SDK used to call Ledger"
razorpay/error-mapping-module,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go shared error mapping"
razorpay/governor-executor,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go shared lib"
razorpay/pg-sdk,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go PG SDK"
razorpay/shield-sdk,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go shield (risk) SDK"
razorpay/rzpconv,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go shared lib"
razorpay/business-verification-service-sdk-go,unknown (404 to this identity),unknown,unknown,unknown,no,no,no,n/a,n/a,unknown,"HTTP 404 via gh api as rana-harsh-raj: no repository-level grant (org has 1609 private repos, 44 visible). Relevance: Go BVS SDK"
