component,route_family,implementation_kind,max_confidence,material_difference,source_refs,local_implementation,patch_classification,behavior_change_risk,verification_status,next_evidence
Beneficiary savings vocabulary,Direct Payouts to FTS,real,Source-confirmed contract limitation; bounded runtime reproduction,API savings is forwarded unchanged while FTS expects saving. Shared baseline uses API-valid null and existing Payouts saving default; nonempty savings remains unsupported by this observed path.,api app/Models/BankAccount/AccountType.php; payouts pkg/fts/transfer_init_create.go:399; fts bank account validator; reports/implementation/CONTRACT_FIXES.md,ENV2_COMPOSE/seeds/monolith/fund_accounts.json; ENV2_COMPOSE/seeds/generator/test_generate.py,synthetic fixture,Nullable baseline does not exercise the incompatible nonempty savings value; original failed direct run is retained.,profile-direct/golden fails400; profile-direct2/golden passes with null baseline,Approved product fix or contract decision for nonempty savings; no automatic core patch
Asynchronous updated-event payload,Merchant webhook publication,real,Source-confirmed and observed across clean replays,Event name is selected from captured event while payload/status details are built later from a mutable payout object; payout.updated can contain processing or processed state.,"payouts internal/app/payouts/webhooks.go:20,38,70,80; reports/implementation/LOGICAL_REPLAY_REVIEW.md",ENV2_COMPOSE/verifier/verifiers/test_v21_webhook_completeness.py,verifier correction,Ordered stimuli and merchant/payout-scoped receipt reads bound the selected verifier; unconstrained source race remains visible in full capture and is not repaired.,Earlier V13 global payload-state differences retained; scoped/ordered V21 checks and final replay19/20 strict comparison passed,Product decision for immutable event snapshots; full global capture remains available
Processed Ledger journal verifier wait,Shared asynchronous processed accounting observation,representative,Source-backed one-retry observation bound; no product SLA claim,50-second wait equals configured 30-second worker retry plus original 20-second settlement allowance; exact journal checks preserved,"payouts:internal/app/payouts/core.go:1479,2589; asyncFailureHandlingHelper.go:119; pkg/worker/manager.go:254; pkg/worker/config.go:11; reports/implementation/runs/replay7/v6-retry-observation.json",ENV2_COMPOSE/verifier/helpers/payouts_flow.py:wait_for_processed_journal; V6 and three scenario runners,verifier_correction,Changes bounded observation only; does not repair or trigger accounting and does not assert retry occurred in every run,Three bounded/config tests passed; replay19/20 exact journal checks and strict comparison passed; replay7 failed deadline/recovery retained,Broader retry/SLA policy; no assertion that every successful run retried
Reservation startup semantic readiness,Direct in-flight reservation store bootstrap,representative,Source-backed real reconciliation plus API trust observation; production cadence not reproduced,"After core health and Ledger initialization, invoke actual reservation cron once and read store_trusted from real API; normal cadence unchanged","payouts:inflight_reservation_reconciler.go:51-56,97-101,210-233; reservation/store.go:447; queueingstrategy/reservation_gate.go:235; reports/implementation/runs/replay8/bootstrap-trust.log",ENV2_COMPOSE/scripts/up.sh; ENV2_COMPOSE/scripts/cron-driver/driver.py --once; ENV2_COMPOSE/scripts/reservation-readiness.py,runtime_wiring,No heartbeat or payout DB write; existing monolith credential used; source post-flush enumeration gap remains,Replay19/20 clean startup and reservation assertions passed; replay8 original24/2 failure retained,Source post-flush reconstruction gap and recurring production cadence
V24 scoped cron and FTS details completion,Queued and scheduled dequeue observation,representative,Source-backed fixture selection and complete held dispatch observation,Own balance_ids request; source low-balance helper unions global queued DB/cache balances so exclusive scope is not guaranteed; IMPS avoids NEFT calendar; observe actual FTS details/channel,payouts:internal/app/dtos/payoutCronRequests.go:5-7; internal/app/dtos/process_queued_payouts_initiate_request.go:7-9; reports/implementation/logical-replay-replay9-10.json; reports/implementation/VERIFIER_REPAIR_NOTES.md,ENV2_COMPOSE/verifier/verifiers/test_v24_cron_dequeue.py,verifier_correction + synthetic_fixture,Expresses requested scope and waits for actual dispatch; low-balance source expands scope; no service/comparator change or removal of material observations,Replay19/20 V24 cases and strict comparison passed; earlier V24 differences and source global-balance expansion retained,Production queue/cadence breadth; source scope expansion is not repaired
V21 merchant and payout receipt observation,Merchant webhook delivery and duplicate suppression,representative,Read-only evidence scope checked independently; real publication and signatures unchanged,Optional merchant AND payout_id filters select owned receipts; unfiltered endpoint and append-only log retain all deliveries; duplicate rows are not collapsed,"reports/implementation/sink-scoping-check.json; payouts internal/app/payouts/webhooks.go:20,38,70,80",ENV2_COMPOSE/substitutes/merchant-webhook-sink/server.py:81-91; ENV2_COMPOSE/verifier/verifiers/test_v21_webhook_completeness.py,substitute_observation + verifier_correction,"Narrows scenario evidence to owned events without changing delivery, capture, duplicate suppression, signature verification or material state fields; other merchants remain in global evidence",Four sink-scope checks passed; replay19/20 V21 and strict comparison passed; full capture and duplicate multiplicity preserved,Broader webhook lifecycle; no global payload-race repair claim
V14 and V22 actual FTS handoff completion,State transition and Shield fail-open observation,representative,Observes real cross-service transfer metadata before scenario snapshot,"After immediate invariant checks, observe actual persisted held-bank response, FTS INITIATED and Payouts initiated with matching transfer ID/channel before V14 logs and V22 fault cleanup",ENV2_COMPOSE/verifier/verifiers/test_v14_state_machine_legality.py; ENV2_COMPOSE/verifier/verifiers/test_v22_shield_fail_open.py; reports/implementation/VERIFIER_REPAIR_NOTES.md,ENV2_COMPOSE/verifier/helpers/payouts_flow.py:wait_for_held_handoff; V14/V22 explicit scenario calls,verifier_correction,"Waits for an asynchronous callback already in flight; no terminal event injection, product state change, transition weakening or field normalization",Replay19/20 passed with actual held bank response and matching FTS transfer/channel; strict comparison passed,Broader transition/policy coverage beyond selected held scenarios
Complete held-bank dispatch before verifier cleanup,Held Payouts/FTS fixtures and ordered adapter stimuli,representative,Source-backed scoped persistence observation; final clean suites and strict comparison passed,"Await FTS INITIATED attempt and bank response code with positive acknowledged_at, then transfer INITIATED and Payouts matching ID/channel; source SetDefaults means positive timestamp alone is insufficient","fts internal/transfer/attempt_processor.go:623-681; internal/transfer/attempt.go:122-133; ENV2_COMPOSE/substitutes/mozart-sim/server.py:53-75,174-175; reports/implementation/VERIFIER_REPAIR_NOTES.md","ENV2_COMPOSE/verifier/helpers/payouts_flow.py:wait_for_held_fts_transfer,wait_for_held_handoff; explicit V1,V2,V3,V5,V11,V12,V13,V14,V16,V17,V19,V21,V22,V24 calls",verifier_correction,"Preserves immediate balance/reservation/accounting assertions and material fields; repeated requests, injections and drop controls follow actual held dispatch; no bank rule or product callback fabricated","Four bounded helper checks and both replay19/20 full suites passed, including Shared and Direct held dispatch; strict comparison passed",Maintain completion checks when adding held fixtures; broader bank/channel semantics remain separate
Current-boot audit readers,Source/image/config/log/volume evidence,representative,Bounded scanner and logical-read evidence with explicit exclusions,Unused-volume reader uses actual UID10001 and fails on enumeration errors; diagnostic URLs and Machinery IDs require source/context/field proof,reports/implementation/SECRET_AND_ENDPOINT_AUDIT.md; FTS Machinery v1.9.1 tasks/state.go and backends/redis/redis.go,ENV2_COMPOSE/preflight/audits,safety_patch + verifier_correction,"Known-value classification is not proof of arbitrary secret absence; unreadable, rotated, physical and encoded surfaces remain excluded",Reviewed boot20 capture passed with zero unresolved findings and stable identities; six offline boundary tests passed; first blocked capture preserved,Expand scanning only with explicit additional surface/encoding evidence; refresh after new boots/workloads
Ledger transport gate header passthrough (DEV-001),payouts->Ledger journal create/idempotency,substitute,"source-confirmed header contract; forwarding proven offline, not yet re-observed in a boot","The gate previously forwarded a five-name allow-list and dropped idempotency-key, Request-ID, Trace-ID, Country-Code, Ledger-Integration-Mode and Accept; it now forwards every inbound header except hop-by-hop/transport (host, content-length, connection, transfer-encoding, keep-alive, te, trailer, trailers, upgrade, accept-encoding, proxy-*). Production has no proxy on this leg at all","ledger-sdk/common/constant.go:39-54; ledger-sdk/ledger/journal/core.go:105-107,120-124,249-251,255-259; ledger/pkg/idempotency/hooks.go:17; ledger/pkg/idempotency/interceptor.go:115-118; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-001",ENV2_COMPOSE/substitutes/ledger-gate/server.py:forward_headers; ENV2_COMPOSE/substitutes/ledger-gate/CONTRACT.md; ENV2_COMPOSE/substitutes/ledger-gate/test_contract.py,substitute_fidelity + explicit_behavior_change,"Restores a production control the twin had silently removed: with the key dropped, isIdempotencyNotRequired short-circuited and Ledger never consulted the idempotency table on the payouts leg, so every duplicate-journal result (I03, V04) measured one fewer defence than production while FTS and the monolith kept it. Fault injection (delay/drop/status via /_arena/faults) is unchanged and still runs in the shared dispatcher before forwarding","Six offline contract tests pass (python3 -m unittest, no container, no network); the same tests fail against the previous allow-list, so they are non-vacuous. No boot has yet re-observed the header on the wire",Re-run the two from-empty replays and confirm ledger idempotency rows are created for payouts-originated journal creates; re-express V04 against the restored layer
Ledger mutex lease (DEV-002),Ledger journal create concurrency,real,source-confirmed production value; effect not executable while ledger workers are single-threaded,"Arena carried mutex.ttl 500 ms, the upstream default, against the production 60000 ms - a 120x shorter lease on the journal/idempotency mutex. Now aligned to 60000",ledger/config/prod-live.toml:326; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-002,ENV2_COMPOSE/config/templates/base/ledger/arena.toml [mutex].ttl (generated/ is rebuilt by scripts/up.sh step 2/8),runtime_wiring,"Removes a concurrency deviation that biased the twin toward duplicate journals production would suppress; stacked on DEV-001 it left ledger with no effective duplicate-suppression on the payouts leg. Related keys splitAccount.mutexTTL (10 vs 20) and mutex.mutex.scope (ledger:mutex: vs ledger-live:mutex:) still differ and are declared, not changed","Config-level change confirmed against prod-live; not exercised, because LEDGER_WORKER_MAXCONCURRENCY is 1 on all five workers so no concurrent journal create occurs in a normal boot","A bounded concurrency probe issuing parallel journal creates for one idempotency key, run once with the restored lease"
Payouts idempotency-key auto enforcement (DEV-003),create/idempotency,real,source-confirmed production value,"Arena inherited features.ikey_auto_enforcement false from the upstream default; production sets true, so the twin exercised the opt-in idempotency path rather than the enforced one",payouts/config/prod.toml:664; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-003,ENV2_COMPOSE/config/templates/base/payouts/arena.toml [features].ikey_auto_enforcement,runtime_wiring,A request production would reject for a missing or duplicate idempotency key was accepted by the twin; V01 and V02 were measuring the wrong path,Config-level change confirmed against prod.toml; V01/V02 must be re-run and their expectations re-checked against the enforced path,Replay V01/V02 under enforcement and add a case for the missing-key rejection production performs
Payouts bank error-code mapping assets (DEV-004),failure_reason/status_details surface,real,source-confirmed production image contents; mapping not yet re-observed in a boot,"build-host.sh staged only the IFSC dataset, so /app/files was absent in the running container while all three production payouts images COPY /src/files/ to /app/files/. The error-mapping files are now staged","payouts/build/docker/prod/Dockerfile.api; payouts/internal/helpers/read_file.go:12,22-25,37-40; payouts/internal/app/payoutStatusDetails/statusProcessor.go:112; payouts/internal/app/payouts/payout_error.go:63; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-004",ENV2_COMPOSE/build/build-host.sh stage_assets_payouts,deployment_packaging,"ReadErrorFile returns nil with no error when the file is missing, so every bank error-code to public failure_reason and description mapping silently degraded to the fallback. Any verifier asserting a specific failure_reason was measuring the fallback, not the production mapping",Staging change made; not yet re-observed. Requires a rebuild plus one bank-failure case to confirm a mapped (non-fallback) failure_reason,"One bank-failure payout per mapped code, asserting the mapped description rather than the fallback"
Payouts Kafka producer brokers (DEV-005),Kafka FTS status update / failed-message republish,real,root cause reproduced and explained in a retained run,"arena.toml carried the upstream placeholder Brokers [broker:9092, broker1:9092]; neither is a compose service name, and the only broker in the arena is kafka. Now [kafka:9092]. Production uses prod-noncde-kafka.razorpay.com:9090",payouts/config/prod.toml:353; reports/implementation/runs/claude-audit-kafka-repro-20260905T152544Z/NOTES.md; reports/claude-review/TWIN_V1_AUDIT_AND_NEXT_STEP.md section 3.7; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-005,ENV2_COMPOSE/config/templates/base/payouts/arena.toml [kafka_producer].Brokers,runtime_wiring,"This was a wiring defect, not a fidelity choice. The two Kafka consumers correctly used kafka:9092, but the producer did not resolve, so when a consumed message failed and the consumer tried to republish it to the retry topic the vendored library dereferenced a nil producer and the process exited unrecovered. With no restart policy (DEV-007) the consumer stayed dead, which is exactly the historical inconclusive Direct-after-Shared timeout: a crashed consumer read as a product timeout",Reproduced in the retained audit run; the fix itself is not yet re-observed under the kafka profile,"Kafka-profile rerun: Shared golden still fails at the Ledger enqueue (source-faithful), consumer container stays running with restarts 0, Direct-after-Shared passes, and the retry topic receives the republished Shared message"
FTS payouts-webhook timeout (DEV-006),FTS->Payouts transfer_status_webhook,real,source-confirmed production value,routes.py hard-coded payouts_service.update_fts_fund_transfer.TIMEOUT to 10 seconds against the production 300,fts/config/env.prod-live.toml:271; fts/internal/transfer/service.go:1252; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-006,ENV2_COMPOSE/config/routes.py:53,runtime_wiring,"FTS retries on every non-2xx, so a 10-300 s payouts response production tolerates became a timeout and a scheduled retry. This inverted a production behaviour - slow-but-successful became retried-and-duplicated - and manufactured duplicate callbacks the real system would not send",Config-level change confirmed against env.prod-live.toml; the retry/duplicate-callback behaviour has not been re-measured under the aligned timeout,One slow-webhook case (payouts response between 10 s and 300 s) asserting exactly one FTS callback rather than a retry
Kafka consumer restart policy (DEV-007),container lifecycle / route liveness,representative,"deployed value read from the retained drift report; twin policy is compose-level, not Kubernetes","No container in the arena declared a restart policy and the consumer healthcheck is a pgrep, so a crashed consumer stayed dead. restart: on-failure is now set on both Kafka consumers. This is a representative approximation of Kubernetes restartPolicy Always, not an equivalent (no probe-driven restart, no backoff parity, no replica count)","devstack-prod-parity/reports/batch8/drift-check-20260703.html via reports/claude-review/TWIN_V1_AUDIT_AND_NEXT_STEP.md:133 (namespace payouts, application prod-payouts, revision 418, live replicas 3, restartPolicy Always, HTTP liveness and readiness probes); kube-manifests/templates/payouts/templates/payouts-kafka-fts-status-updates-consumer.yaml; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-007",ENV2_COMPOSE/docker-compose.yml payouts kafka consumer services,deployment_packaging,"Without it a transient crash became a permanent silent route outage - the mechanism that turned DEV-005 into an unexplained timeout. The remaining gap is declared: the twin has one replica per consumer against three live in production, and pgrep is a weaker liveness signal than an HTTP probe",Policy set in compose; not yet observed restarting a crashed consumer,Kafka-profile rerun recording docker inspect restart count for both consumers across the Shared failure
Mozart circuit-breaker timeout (DEV-012),bank gateway execution/timeout,real,source-confirmed production value; deviation retained deliberately,"arena.toml sets mozart.httpclient.resiliency.circuitbreakertimeout 220000 against the production 10000, 22x looser. NOT changed in milestone 1: the twin 30 s gateway-timeout bank case depends on the loosened breaker, so aligning it requires re-expressing that case",payouts/config/prod.toml:248; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-012,ENV2_COMPOSE/config/templates/base/payouts/arena.toml [mozart.httpclient.resiliency].circuitbreakertimeout,explicit_behavior_change_transport,"Hides the production bank-gateway timeout failure mode entirely: latency production cuts off at 10 s is tolerated for 220 s. That is the exact failure class a payouts twin exists to study, so no breaker or resiliency finding on the mozart leg is production-representative. The related account_service breaker runs the other way (1000 against a production 10000, prod.toml:687) and manufactures false breaker trips","Declared, not fixed. Current bank cases pass under the loosened breaker and the 30 s gateway-timeout case relies on it","Re-express the gateway-timeout bank case against a 10000 ms breaker, then align both mozart and account_service and re-run the bank six"
Monolith-side Kafka status consumer (DEV-150),Kafka FTS status update - monolith-created FTAs,unknown,deployed presence and handler confirmed from source and values; not modelled in the twin,"Production runs a second consumer of rx-fts-status-update-events inside the api monolith, under its own consumer group, whose handler calls the same FtaService::updateFundTransferAttempt the HTTP relay uses. The twin models neither that consumer nor the asymmetry it creates","api/app/Services/Kafka/Consumers/FtsStatusUpdateConsumer/Consumer.php:67-108 (handle() calls FtaService::updateFundTransferAttempt, republishing to the retry topic on any Throwable); api/app/Services/Kafka/Consumers/FtsStatusUpdateConsumer/Config.php; kube-manifests/cde/api/values.yaml:315 (api_kafka_fts_status_update_consumer_replicas: 8); reports/implementation/KAFKA_ROUTE_EVIDENCE.md; ENV2_COMPOSE/config/declared-deviations.yaml:DEV-150",Not implemented. ENV2_COMPOSE/substitutes/monolith-stub/server.py serves HTTP and relays over HTTP only,none_missing_scope,"For a transfer whose FTA row was created by the monolith, production has a second path that relays status to Payouts over HTTP, where the DTO adapter exists, so the Kafka DTO gap is compensated. For a transfer created directly by Payouts (X-Origin payouts) the monolith holds no FTA row and cannot compensate. The twin kafka profile combines PS-direct create with Kafka status - precisely the uncompensated combination - so the Shared Kafka failure it records is the worst case, not the typical one. Any generalisation from the twin Kafka evidence to production must carry this asymmetry",Declared exclusion. Not implemented and not verified; whether the uncompensated combination is enabled for any real merchant is OWNER QUESTION Q2,"A monolith-stub Kafka consumer under its own group plus a monolith-created-FTA fixture, or an owner answer to Q2 confirming the combination is unreachable in production"
