id,kind,label,owner_domain,criticality,fidelity,twin_ref,repo,sha,identity_model,build,health,fidelity_evidence,confidence,lanes,source_refs
flag:splitz/forPayoutPropertiesEventEvaluate,flag,Splitz experiment forPayoutPropertiesEventEvaluate (prod id PewJ047eTmi2Gs),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:533;payouts/config/prod.toml:458-496
flag:splitz/forProcessingFilterEvaluate,flag,Splitz experiment forProcessingFilterEvaluate (prod id Po9SXogjVrkBbA),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:538;payouts/config/prod.toml:458-496
flag:splitz/free_payouts_xbalances_experiment,flag,Splitz experiment free_payouts_xbalances_experiment (prod id RvC4XItE9kcjLk),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:561;payouts/config/prod.toml:458-496
flag:splitz/fts_request_from_payouts_service_experiment,flag,Splitz experiment fts_request_from_payouts_service_experiment (prod id QTwONtQGnnXcG1),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:540;payouts/config/prod.toml:458-496
flag:splitz/fund_account_optimisation_experiment,flag,Splitz experiment fund_account_optimisation_experiment (prod id QloedqC1aPpEwQ),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:543;payouts/config/prod.toml:458-496
flag:splitz/go_routine_capping_experiment,flag,Splitz experiment go_routine_capping_experiment (prod id QiDrtxwaAglFbu),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:541;payouts/config/prod.toml:458-496
flag:splitz/ikey_auto_enforcement_ramp_up,flag,Splitz experiment ikey_auto_enforcement_ramp_up (prod id R1AxIPWIa9ROis),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:548;payouts/config/prod.toml:458-496
flag:splitz/limited_webhook_flow_experiment,flag,splitz experiment limited_webhook_flow_experiment: limited webhook flow,fts,P2,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:25;fts/config/env.default.toml:9759-9788
flag:splitz/mar_new_routing_flow,flag,splitz experiment mar_new_routing_flow: multi-account routing new flow,fts,P1,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:23;fts/config/env.default.toml:9759-9788
flag:splitz/merchantBalanceAsyncUpdateExperiment,flag,Splitz key to move X MerchantBalance updates async (evaluator exists; call-site into updateBalanceInLedgerEntry not found),ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,,probable,money-and-statements,ledger/internal/journal/config.go:187 evaluateMerchantBalanceAsyncUpdateExperiment;ledger/internal/common/constant.go:1192
flag:splitz/merchant_config_via_asv_and_dcs_experiment,flag,Splitz experiment merchant_config_via_asv_and_dcs_experiment (prod id Qnc6b4fg1Hi36k),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:549;payouts/config/prod.toml:458-496
flag:splitz/merchant_configuration_experiment,flag,Splitz experiment merchant_configuration_experiment (prod id Q4rrjANvwkyoCZ),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:537;payouts/config/prod.toml:458-496
flag:splitz/neft_24_7_queuing_feature,flag,splitz experiment neft_24_7_queuing_feature: NEFT 24x7 queueing,fts,P2,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:36;fts/config/env.default.toml:9759-9788
flag:splitz/non_recon_status_check_experiment,flag,splitz experiment non_recon_status_check_experiment: non-recon vs recon status check (UTR keyed),fts,P1,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/providers/mozart/request.go:164-202;fts/config/env.default.toml:9759-9788
flag:splitz/partner_bank_on_hold_payouts_experiment,flag,Splitz experiment partner_bank_on_hold_payouts_experiment (prod id Pbgz6ihS348Z6J),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:534;payouts/config/prod.toml:458-496
flag:splitz/pass_request_meta_to_mozart,flag,splitz experiment pass_request_meta_to_mozart: pass request_meta to Mozart,fts,P2,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:45;fts/config/env.default.toml:9759-9788
flag:splitz/payout_service_txn_recon,flag,Splitz (monolith RazorxTreatment): monolith defers BAS recon of PS payouts to PS and skips its own DA ledger emit ⇒ no DA journal for those merchants,splitz,P0,graph_only,,,,,,,,probable,money-and-statements,"api/app/Models/Merchant/RazorxTreatment.php:364;api/app/Models/BankingAccountStatement/Core.php:3081-3091,3538-3560"
flag:splitz/payout_workflows_dcs_name_experiment,flag,Splitz experiment payout_workflows_dcs_name_experiment (prod id Sg7tEnMoxCbTzM),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:563;payouts/config/prod.toml:458-496
flag:splitz/performance_optimization_experiment,flag,Splitz experiment performance_optimization_experiment (prod id QC1HxUWV5nmwCu),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:539;payouts/config/prod.toml:458-496
flag:splitz/reselect_sa_flow_experiment,flag,splitz experiment reselect_sa_flow_experiment: re-select source account on retry,fts,P1,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:29;fts/config/env.default.toml:9759-9788
flag:splitz/route_experiment_prefetch,flag,"Route-scoped Splitz pre-evaluation for POST /v1/payouts (duplicate, merchant_configuration, performance_optimization, partner_bank_on_hold)",splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,middleware runs in the real binary,confirmed,payouts-core,payouts/internal/experiments/route_mapping.go:44-56;payouts/internal/routing/middleware/splitz.go:1
flag:splitz/shadow_mode_headers,flag,splitz experiment shadow_mode_headers: adds x-shadow-merchant-id header on webhook,fts,P2,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,"fts/internal/transfer/service.go:1148,1162-1171;fts/config/env.default.toml:9759-9788"
flag:splitz/skip_balance_cache_force_x_balances,flag,Splitz experiment skip_balance_cache_force_x_balances (prod id S9qSNkr8kWL4gN),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:564;payouts/config/prod.toml:458-496
flag:splitz/sla_monitoring_experiment,flag,Splitz experiment sla_monitoring_experiment (prod id not in prod.toml),splitz,P1,behavioural_placeholder,"ENV2_COMPOSE/seeds/splitz/experiments.json (per-merchant fixture variant, no percentage rollout)",,,,,,"arena id arena_ps_sla_monitoring_experiment replaces prod id None (DEV-025); the twin's variant is a fixture, the production rollout percentage is unknown",confirmed,external-config-deploy,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list]
flag:splitz/source_updater_sns_experiment,flag,Splitz experiment source_updater_sns_experiment (prod id SUWJFEJjPfvdNb),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:565;payouts/config/prod.toml:458-496
flag:splitz/stuck_payouts_experiment,flag,splitz experiment stuck_payouts_experiment: stuck payouts re-initiate cron gating,fts,P1,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:17;fts/config/env.default.toml:9759-9788
flag:splitz/stuck_payouts_initiate_experiment,flag,splitz experiment stuck_payouts_initiate_experiment: stuck payouts initiate gating,fts,P1,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,fts/internal/config/splitz.go:18;fts/config/env.default.toml:9759-9788
flag:splitz/teams_and_departments_v1,flag,Splitz gate for workflow/config version 2,workflows,P2,graph_only,,,,,,,,confirmed,identity-ingress,"workflows/internal/entities/config/server.go:38-42,77-88;workflows/internal/entities/workflow/server.go:38-42,77-85"
flag:splitz/testing_bene_bank_on_hold_payouts_async_processing_experiment,flag,Splitz experiment testing_bene_bank_on_hold_payouts_async_processing_experiment (prod id QNGG7rw9cVxyRq),splitz,P1,behavioural_placeholder,"ENV2_COMPOSE/seeds/splitz/experiments.json (per-merchant fixture variant, no percentage rollout)",,,,,,"arena id arena_ps_testing_bene_bank_on_hold_payouts_async_processing_experiment replaces prod id QNGG7rw9cVxyRq (DEV-025); the twin's variant is a fixture, the production rollout percentage is unknown",confirmed,external-config-deploy,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list]
flag:splitz/testing_partner_bank_on_hold_payouts_async_processing_experiment,flag,Splitz experiment testing_partner_bank_on_hold_payouts_async_processing_experiment (prod id QNGD6zN9YGGzDL),splitz,P1,behavioural_placeholder,"ENV2_COMPOSE/seeds/splitz/experiments.json (per-merchant fixture variant, no percentage rollout)",,,,,,"arena id arena_ps_testing_partner_bank_on_hold_payouts_async_processing_experiment replaces prod id QNGD6zN9YGGzDL (DEV-025); the twin's variant is a fixture, the production rollout percentage is unknown",confirmed,external-config-deploy,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list]
flag:splitz/testing_queue_if_low_balance_payouts_async_processing_experiment,flag,Splitz experiment testing_queue_if_low_balance_payouts_async_processing_experiment (prod id QNGHZssBzhfT39),splitz,P1,behavioural_placeholder,"ENV2_COMPOSE/seeds/splitz/experiments.json (per-merchant fixture variant, no percentage rollout)",,,,,,"arena id arena_ps_testing_queue_if_low_balance_payouts_async_processing_experiment replaces prod id QNGHZssBzhfT39 (DEV-025); the twin's variant is a fixture, the production rollout percentage is unknown",confirmed,external-config-deploy,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list]
flag:splitz/tracer_transfer_feature_enabled,flag,splitz experiment tracer_transfer_feature_enabled: tracer transfers (arena key arena_fts_tracer_transfer_feature_enabled),fts,P2,behavioural_placeholder,splitz-stub (ENV2_COMPOSE),,,,,,splitz-stub returns configured answers; real splitz not run,confirmed,fts-mozart,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml:249;fts/config/env.default.toml:9759-9788
flag:splitz/use_api_db_for_payout_status_details_experiment,flag,Splitz experiment use_api_db_for_payout_status_details_experiment (prod id TMp5VcIFYOHK2m),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:560;payouts/config/prod.toml:458-496
flag:splitz/use_api_db_for_payouts_experiment,flag,Splitz experiment use_api_db_for_payouts_experiment (prod id TLLnTCrftaurn8),splitz,P1,high_fidelity_replacement,ENV2_COMPOSE splitz-stub,,,,,,evaluated by the real binary; variants served by splitz-stub,confirmed,external-config-deploy;payouts-core,payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/config/default.toml:559;payouts/config/prod.toml:458-496
flag:splitz/x_balances_payout_event,flag,Splitz gate for monolith pushPayoutEventToBalanceService,splitz,P2,graph_only,,,,,,,,probable,money-and-statements,api/app/Models/Payout/Core.php:13918-13950
flag:splitz/xas_source_event_utr_and_grn_match_experiment,flag,Splitz experiment xas_source_event_utr_and_grn_match_experiment (prod id RZfCkJYmCWWCPG),splitz,P1,high_fidelity_replacement,"ENV2_COMPOSE/seeds/splitz/experiments.json (per-merchant fixture variant, no percentage rollout)",,,,,,"arena id RStPt2vqXrd5Wl replaces prod id RZfCkJYmCWWCPG (DEV-025); the twin's variant is a fixture, the production rollout percentage is unknown",confirmed,external-config-deploy;money-and-statements;payouts-core,"payouts/config/prod.toml [splitz_experiment_list];ENV2_COMPOSE/config/templates/base/payouts/arena.toml [splitz_experiment_list];payouts/internal/app/payouts/core.go:9800-9815,9850-9887;payouts/config/default.toml:555;payouts/config/prod.toml:458-496"
identity:admin-session:banking-accounts,identity,banking-accounts admin routes guarded by middleware.VerifyAdmin (admin dashboard proxy),banking-accounts,P1,graph_only,,repo:banking-accounts,c3fc1fe8ae41a528a4a3d7ed1b0ec9dad6f98141,,,,,confirmed,money-and-statements,banking-accounts/internal/bootstrap/routes.go:112-115
identity:admin-token,identity,admin-token,api-monolith,P0,high_fidelity_replacement,ENV2_COMPOSE/substitutes/api-ingress/server.py,,,X-Admin-Token resolved by fetchAdminToken (BasicAuth.php:2563-2572) to an admin entity; Kong's user-auth admin branch explicitly leaves the impersonation claim nil,,,minted / verified by api-ingress in the twin,confirmed,identity-ingress;m7-ingress,"api/app/Http/RequestHeader.php:92;api/app/Http/BasicAuth/BasicAuth.php:1279-1334,2563-2572;edge/kong-plugins/kong-plugin-user-auth/kong/plugins/user-auth/access.lua:335-460;ENV2_COMPOSE/substitutes/api-ingress/CONTRACT.md"
identity:api-basic-auth:payout-links,identity,api monolith -> payout-links / payout-links -> monolith shared credential (routeKey 'rzp_live'),payout-links,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,payout-links/config/routes/routesprod.toml [PayoutConfig.CreatePayout]
identity:api-basic-auth:vendor-payments,identity,api monolith -> vendor-payments service credential,vendor-payments,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,api/app/Services/VendorPayments/Service.php:130
identity:bas-api-token,identity,payouts -> banking-accounts Api-Token header (== [api].token),trust-path,P0,real_source_running,ENV2_COMPOSE/docker-compose.m11.yml + config/generate.py TRUST tokens,,,,,,,confirmed,m11-trust-path,banking-accounts/internal/routing/middleware/auth.go;payouts/pkg/bankingAccountService/fetch_merchant_details.go
identity:batch-inbound-basic,identity,"Batch service inbound Basic-auth (callers: monolith, xperience)",batch,P0,graph_only,,,,"Monolith: applications.batch.username + applications.batch.password (BatchMicroService.php:83,85). xperience: its own batch client credentials with req.SetBasicAuth",,,absent from the twin,confirmed,identity-ingress,"api/app/Services/BatchMicroService.php:79-85,449-452;xperience/internal/app/client/batch/process_batch.go:70"
identity:cc-sdk-auth:payouts,identity,charge-collections-sdk credential ([ccSdk]) -- mock=true in the arena,charge-collections,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,payouts/config/default.toml [ccSdk]
identity:dashboard-otp,identity,dashboard-otp,api-monolith,P0,high_fidelity_replacement,ENV2_COMPOSE/substitutes/api-ingress/server.py,,,User\Core::verifyOtp with action=create_payout (payouts_with_otp) or action=approve_payout (approve); ICICI CA 2FA is a separate pending-then-approve flow via FTS; X-Dashboard-User-2FA-Verified header at RequestHeader.php:39,,,minted / verified by api-ingress in the twin,confirmed,identity-ingress;m7-ingress,"api/app/Models/Payout/Service.php:1832-1840,1219-1226,1919;api/app/Http/RequestHeader.php:39;ENV2_COMPOSE/substitutes/api-ingress/CONTRACT.md"
identity:dashboard-session,identity,dashboard-session,api-monolith,P0,high_fidelity_replacement,ENV2_COMPOSE/substitutes/api-ingress/server.py,,,"Cookie session validated by kong-plugin-user-auth against the monolith's v1/edge/internal/authenticate; sets impersonation={grant.principal_type=user_merchant, consumer={username=<merchant id>, type=merchant}}; on the plain merchant-dashboard route Kong maps to the ANONYMOUS consumer and mints an identification-only passport (authenticated=false)",,,minted / verified by api-ingress in the twin,confirmed,identity-ingress;m7-ingress,"x/src/js/api/api.js:63-69,170-179;terraform-kong/prod/api-dashboard/templates/merchant-dashboard.tf:2254-2257;edge/kong-plugins/kong-plugin-user-auth/kong/plugins/user-auth/access.lua:335-460;ENV2_COMPOSE/substitutes/api-ingress/CONTRACT.md"
identity:dcs-basic-auth:payouts,identity,DCS login credential (POST /v1/auth/login) used by payouts/cfa/x-balances,dcs,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,ENV2_COMPOSE/substitutes/dcs-stub/CONTRACT.md
identity:dcs-jwt:payouts,identity,DCS bearer JWT (~6h) presented on /v1/kv/*,dcs,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,goutils/dcs/rpc/dcs/auth/v1/auth.pb.go
identity:edge-passport-edgev2,identity,"Edge passport (X-Passport-JWT-V1, RS256 kid edgev2) minted by kong-plugin-upstream-jwt per authenticated request",trust-path,P0,real_source_running,ENV2_COMPOSE/docker-compose.m11.yml + config/generate.py TRUST tokens,,,,,,,confirmed,m11-trust-path,edge/kong-plugins/kong-plugin-upstream-jwt/kong/plugins/upstream-jwt/access.lua;terraform-kong/prod/api/api.tf
identity:fastcron-basic-auth:payouts,identity,"FastCron Basic credential on PS /v1/cron/* ([auth.fastcron], username 'fast_cron')",platform,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,ENV2_COMPOSE/scripts/cron-driver/driver.py:26-34;payouts/internal/routing/router/cron_routes.go
identity:fts-basic-auth:alert,identity,FTS inbound Basic-auth user 'ALERT' (Alertmanager caller; config [users.alert]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:api,identity,FTS inbound Basic-auth user 'API' (API monolith; config [users.api]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:art,identity,FTS inbound Basic-auth user 'ART' (recon/ART; config [users.art]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:capitalcards,identity,FTS inbound Basic-auth user 'CAPITALCARDS' (Capital Cards; config [users.capitalcards]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:ps,identity,FTS inbound Basic-auth user 'PS' (Payouts Service; config [users.ps]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:scrooge,identity,FTS inbound Basic-auth user 'SCROOGE' (Scrooge; config [users.scrooge]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:settlement,identity,FTS inbound Basic-auth user 'SETTLEMENT' (Settlements; config [users.settlement]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:validate_vpa_internal_merchant,identity,FTS outbound cred [users.validate_vpa_internal_merchant] for API monolith validate_vpa,fts,P2,real_source_mapped_not_running,,,,,,,config-only; API monolith VPA validate is stubbed/blackholed in twin,confirmed,fts-mozart,fts/internal/config/auth_user.go:10
identity:fts-basic-auth:validx,identity,FTS inbound Basic-auth user 'VALIDX' (ValidX; config [users.validx]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:wallet,identity,FTS inbound Basic-auth user 'WALLET' (Wallet service; config [users.wallet]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-basic-auth:xperience,identity,FTS inbound Basic-auth user 'XPERIENCE' (Xperience; config [users.xperience]),fts,P1,real_source_running,ENV2_COMPOSE/config/templates/base/fts/env.arena.toml [users.*],,,,,,same middleware runs in fts-web; credentials supplied by arena env,confirmed,fts-mozart,fts/internal/constants/authusers.go:3-15;fts/internal/config/auth_user.go:3-15;fts/internal/routing/middleware/auth.go:1
identity:fts-product-auth:api,identity,FTS outbound per-product [webhook.<product>.auth] for API monolith update_fts_fund_transfer,fts,P0,high_fidelity_replacement,,,,,,,monolith-stub accepts the call (ENV2_COMPOSE/substitutes/monolith-stub/server.py),confirmed,fts-mozart,fts/config/env.prod-live.toml:165-220;fts/internal/transfer/service.go:1181-1187
identity:governor-basic-auth:cc-sdk,identity,Governor Basic-Auth app identity used by charge-collections-sdk,governor,P1,high_fidelity_replacement,"synthetic per-arena credential (DEV-011); env var NAMES only, never values",,,,,,,confirmed,external-config-deploy,governor/app/controllers/governor.go:371-414
identity:ingress-app-secret,identity,"internal application secret (rzp_live + app secret, appAuth)",api-monolith,P0,high_fidelity_replacement,ENV2_COMPOSE/substitutes/api-ingress/server.py,,,,,,,confirmed,m7-ingress,api/app/Http/BasicAuth/BasicAuth.php:1145-1200;api/app/Http/Route.php:12922
identity:kong-merchant-credential,identity,"Merchant API key as a Kong basic-auth-x credential (username rzp_<mode>_<mid>, tags m~l/m~t, r~<role>) on the merchant's consumer",trust-path,P0,real_source_running,ENV2_COMPOSE/docker-compose.m11.yml + config/generate.py TRUST tokens,,,,,,,confirmed,m11-trust-path,edge/kong-plugins/kong-plugin-basic-auth-x/kong/plugins/basic-auth-x/daos.lua;ENV2_COMPOSE/trustpath/edge/provision_kong.py
identity:merchant-api-key,identity,merchant-api-key,api-monolith,P0,high_fidelity_replacement,ENV2_COMPOSE/substitutes/api-ingress/server.py,,,"Kong basic-auth-x / consumer-authentication verifies key+secret, sets identified=true + authenticated=true + consumer.type=merchant; the monolith re-verifies via KeyAuthCreds in privateAuth",,,minted / verified by api-ingress in the twin,confirmed,identity-ingress;m7-ingress,"api/app/Http/BasicAuth/BasicAuth.php:896;api/app/Http/RequestContext.php:656-657,798-812;terraform-kong/prod/api/api.tf:663-669;ENV2_COMPOSE/substitutes/api-ingress/CONTRACT.md"
identity:merchant-passport,identity,goutils passport v3 JWT (merchant/user actor minted by API monolith or Edge),platform,P0,real_source_running,passports minted by ENV2_COMPOSE kong-lite / verifier helpers,,,RS256 JWT; issuer keys apiv1 (monolith) and edgev1/edgev2 (Edge),,,PassportAuthentication middleware runs in the real binary,confirmed,payouts-core,payouts/config/default.toml:411-419 [passport];payouts/config/prod.toml:190-200;payouts/internal/routing/middleware/passport.go:23-84
identity:monolith-passport-apiv1,identity,Monolith passport (kid apiv1) minted toward the Payouts service by the monolith replacement (api-ingress) in the api slot payouts registers (pkg/passport/handler.go),trust-path,P0,real_source_running,ENV2_COMPOSE/docker-compose.m11.yml + config/generate.py TRUST tokens,,,,,,,confirmed,m11-trust-path,ENV2_COMPOSE/substitutes/api-ingress/server.py;payouts/pkg/passport/handler.go
