from,to,type,via,identity,fidelity,confidence,source_refs
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/retry/source_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/rzp_fees_payout,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/scheduled/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/set_pricing_rule_info,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/shield/evaluate,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/transfer_status_webhook,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:vendorpayments,route:payouts/POST /v1/payouts/update_payouts_details_with_fts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/fund_accounts/validations/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/fund_account_validation_routes.go:14-35
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/inflight_reservations,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:197-211
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/_meta/summary,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/analytics,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/fetch_multiple,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/free_payout/:balance_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/mapped_vpa/:upi_number,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/payouts_internal/:payout_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/payouts_status_reason_map,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/schedule/timeslots,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:115-133
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/status_details/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_status_details.go:11-26
identity:payouts-basic-auth:workflow,route:payouts/GET /v1/payouts/xperience_get_payout/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/PATCH /v1/payouts/attachments,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes_with_passport.go:13-35
identity:payouts-basic-auth:workflow,route:payouts/PATCH /v1/payouts/update_credit_transfer_payout,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/PATCH /v1/payouts/update_payouts_with_fts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/PATCH /v1/workflow/state/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/workflow_routes.go:12-32
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/banking_account_statement/process/batch,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/bas_internal_routes.go:11-26
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/fund_accounts/validations,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/fund_account_validation_routes.go:14-35
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/fund_accounts/validations/update/fts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/fund_account_validation_internal_routes.go:12-32
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/fund_accounts/validations/update/vpa,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/fund_account_validation_internal_routes.go:12-32
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/balance_update_event,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/banking_account_statement/payout_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/batch/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/bene_bank_status_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/bulk,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes_with_passport.go:13-35
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/cancel_payout/:payout_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/consistency_checker,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/duplicate_payout_evaluate,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/elasticsearch/backfill_index,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/free_payout_migration,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/internal_contact_payout,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/manual_action,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/on_hold/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/payout_internal,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/payouts_internal,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/approve,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/reject,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/retry,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/retry/source_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/rzp_fees_payout,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/scheduled/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/set_pricing_rule_info,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/shield/evaluate,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/transfer_status_webhook,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/translate_account_number_to_balance_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_routes.go:17-103
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/payouts/update_payouts_details_with_fts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:workflow,route:payouts/POST /v1/workflow/state,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/workflow_routes.go:12-32
identity:payouts-basic-auth:xbalances,route:payouts/GET /v1/internal/banking_account/:balance_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/xbalances_internal_routes.go:13-44
identity:payouts-basic-auth:xbalances,route:payouts/GET /v1/internal/non_terminal_payouts/:balance_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/xbalances_internal_routes.go:13-44
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/inflight_reservations,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:197-211
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/payouts/analytics,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/payouts/fetch_multiple,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/payouts/mapped_vpa/:upi_number,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/payouts/payouts_internal/:payout_id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/payouts/status_details/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_status_details.go:11-26
identity:payouts-basic-auth:xperience,route:payouts/GET /v1/payouts/xperience_get_payout/:id,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/PATCH /v1/payouts/update_credit_transfer_payout,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/PATCH /v1/payouts/update_payouts_with_fts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/balance_update_event,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/banking_account_statement/payout_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/batch/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/bene_bank_status_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/consistency_checker,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/duplicate_payout_evaluate,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/elasticsearch/backfill_index,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/free_payout_migration,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/manual_action,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/on_hold/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/payout_internal,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/approve,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/payouts_internal/:payout_id/reject,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/retry,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/retry/source_update,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/rzp_fees_payout,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/scheduled/process,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/set_pricing_rule_info,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/shield/evaluate,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/transfer_status_webhook,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:payouts-basic-auth:xperience,route:payouts/POST /v1/payouts/update_payouts_details_with_fts,authenticates,,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:12-190
identity:ps-cred-api,route:payouts/POST /v1/payouts/batch/process,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:111-116
identity:ps-cred-api,route:payouts/POST /v1/payouts/bulk,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes_with_passport.go:13-35
identity:ps-cred-api,route:payouts/POST /v1/payouts/bulk/validate,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_bulk_routes.go:13-29
identity:ps-cred-api,route:payouts/POST /v1/payouts/payouts_internal/{payout_id}/approve,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,"payouts/internal/routing/router/payout_internal_routes.go:14-18,69-74"
identity:ps-cred-api,route:payouts/POST /v1/payouts/payouts_internal/{payout_id}/reject,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:75-80
identity:ps-cred-fastcron,route:payouts/POST /v1/cron/process_batch_submitted_payouts,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,"payouts/internal/routing/router/cron_routes.go:12-16,40-49"
identity:ps-cred-workflow,route:payouts/POST /v1/payouts/batch/process,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:111-116
identity:ps-cred-workflow,route:payouts/POST /v1/payouts/bulk,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes_with_passport.go:13-35
identity:ps-cred-workflow,route:payouts/POST /v1/payouts/payouts_internal/{payout_id}/approve,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,"payouts/internal/routing/router/payout_internal_routes.go:14-18,69-74"
identity:ps-cred-workflow,route:payouts/POST /v1/payouts/payouts_internal/{payout_id}/reject,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:75-80
identity:service-basic-auth:api-to-ps,route:payouts/POST /v1/payouts/manual_action,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/payout_internal_routes.go:20-25
identity:service-basic-auth:batch,route:api-monolith/POST payouts/bulk,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:batch,route:api-monolith/POST payouts/bulk_approve,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:payouts-service,route:api-monolith/PATCH wf-service/state/{id}/callback,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:payouts-service,route:api-monolith/POST internal/workflow/config,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:payouts-service,route:api-monolith/POST wf-service/state/callback,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:workflows,route:api-monolith/PATCH wf-service/state/{id}/callback,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:workflows,route:api-monolith/POST payouts_internal/{id}/approve,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:workflows,route:api-monolith/POST payouts_internal/{id}/reject,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:workflows,route:api-monolith/POST wf-service/state/callback,authenticates,Route::$internalApps allow-list,,graph_only,confirmed,api/app/Http/Route.php:12922;api/app/Http/BasicAuth/BasicAuth.php:1661-1687
identity:service-basic-auth:workflows,route:payouts/PATCH /v1/workflow/state/{id},authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/workflow_routes.go:25-30
identity:service-basic-auth:workflows,route:payouts/POST /v1/workflow/state,authenticates,middleware.BasicAuth / PassportAuthentication,,real_source_running,confirmed,payouts/internal/routing/router/workflow_routes.go:12-24
identity:service-basic-auth:workflows,route:xperience/POST /v1/bulk-payouts/callbacks/workflow-action,authenticates,"Basic auth, xperience WorkflowsAuth",,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-232
identity:service-basic-auth:workflows,route:xperience/POST /v1/bulk-payouts/callbacks/workflow-state,authenticates,"Basic auth, xperience WorkflowsAuth",,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-232
identity:workflows-inbound-basic,route:workflows/ActionAPI.Create,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ActionAPI.CreateDirectOnWorkflow,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ActionAPI.CreateWithEntityId,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ActionAPI.List,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/CommentAPI.Create,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ConfigAPI.Create,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ConfigAPI.CreateV2,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ConfigAPI.DeleteV2,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ConfigAPI.Get,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ConfigAPI.List,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/ConfigAPI.UpdateV2,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/HealthCheckAPI.Check,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.AddAssignee,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.AdminAction,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.Create,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.Get,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.List,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.ListByIds,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.ListPending,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.RemoveAssignee,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:workflows-inbound-basic,route:workflows/WorkflowAPI.Terminate,authenticates,"hooks.Auth RequestRouted hook, shared 12-credential allow-list",,graph_only,confirmed,workflows/internal/boot/hooks/auth.go:26-82
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/_meta/summary,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/fetch/all,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/fetch/me,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/fetch/my-approvals,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/pending,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/workflow/summary,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/{id},authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/GET /v1/bulk-payouts/{id}/rows,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/POST /v1/bulk-payouts,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/POST /v1/bulk-payouts/approve,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/POST /v1/bulk-payouts/reject,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
identity:xperience-inbound-basic,route:xperience/POST /v1/bulk-payouts/reject/owner,authenticates,routes.InternalAuth plane + InternalAppRouteMap[api],,graph_only,confirmed,xperience/internal/interceptors/authz_interceptor.go:223-252;xperience/internal/routes/routes.go:458-475
